1,3.00E-06,,0,-5.522289359
1,2.07E-06,,0,-5.683140652
1,2.05E-06,,0,-5.688161453
1,2.03E-06,,0,-5.693240979
1,2.07E-06,,0,-5.683140652
2,4.08E-06,,0.301029996,-5.389663794
2,5.77E-06,,0.301029996,-5.238844539
3,5.79E-06,,0.477121255,-5.237053631
3,7.87E-06,,0.477121255,-5.104145965
4,1.14E-05,,0.602059991,-4.944141526
5,1.67E-05,,0.698970004,-4.776941887
5,1.70E-05,,0.698970004,-4.770790304
6,1.94E-05,,0.77815125,-4.712569359
8,4.13E-05,,0.903089987,-4.383861342
9,4.41E-05,,0.954242509,-4.355488176
11,5.89E-05,,1.041392685,-4.229787159
13,8.69E-05,,1.113943352,-4.061200733
15,9.34E-05,,1.176091259,-4.029595473
18,0.00013876,,1.255272505,-3.85773692
21,0.000187254,,1.322219295,-3.727569008
25,0.000251055,,1.397940009,-3.600231533
29,0.000319743,,1.462397998,-3.495198742
34,0.000430679,,1.531478917,-3.36584598
40,0.000557947,,1.602059991,-3.25340693
47,0.000767875,,1.672097858,-3.114709631
56,0.001081419,,1.748188027,-2.966006008
66,0.001426339,,1.819543936,-2.845777197
77,0.002088785,,1.886490725,-2.680106224
91,0.002799964,,1.959041392,-2.55284756
107,0.003643322,,2.029383778,-2.438502445
125,0.005043221,,2.096910013,-2.297292041
147,0.006587315,,2.167317335,-2.181291594
173,0.009239626,,2.238046103,-2.034345611
204,0.012524271,,2.309630167,-1.902247543
239,0.017217898,,2.378397901,-1.76401986
281,0.023523736,,2.44870632,-1.628493703
331,0.03244319,,2.519827994,-1.488876455
389,0.045763803,,2.589949601,-1.339477897
457,0.081426597,,2.6599162,-1.089233717
537,0.090876579,,2.729974286,-1.041548029
630,0.119828033,,2.799340549,-0.921441568
741,0.16745913,,2.869818208,-0.776091169
870,0.240476894,,2.939519253,-0.618926645
1023,0.322538233,,3.009875634,-0.491418798
1202,0.43649826,,3.079904468,-0.360017483
1412,0.602834272,,3.149834697,-0.219802065
1659,0.854030967,,3.219846386,-0.068526382
1949,1.127883554,,3.289811839,0.052264264
2290,1.616180682,,3.359835482,0.208489911
2691,2.260807586,,3.429913698,0.354263602
